image,counterpart,current_ink,target_ink,top_rank,bottom_rank,any_lt50,any_lt100,any_lt300
0_1.png,0_2.png,没有墨迹,没有墨迹,101,180,N,N,Y
0_2.png,0_1.png,没有墨迹,没有墨迹,978,,N,N,N
102_1.png,102_2.png,没有墨迹,没有墨迹,1,,Y,Y,Y
102_2.png,102_1.png,没有墨迹,没有墨迹,141,1,Y,Y,Y
105_1.png,105_2.png,下方有墨迹,上方有墨迹,13,355,Y,Y,Y
105_2.png,105_1.png,上方有墨迹,下方有墨迹,67,175,N,Y,Y
110_1.png,110_2.png,下方有墨迹,没有墨迹,518,364,N,N,N
110_2.png,110_1.png,没有墨迹,下方有墨迹,83,730,N,Y,Y
114_1.png,114_2.png,下方有墨迹,上方有墨迹,122,438,N,N,Y
114_2.png,114_1.png,上方有墨迹,下方有墨迹,14,875,Y,Y,Y
11_1.png,11_2.png,没有墨迹,没有墨迹,346,157,N,N,Y
11_2.png,11_1.png,没有墨迹,没有墨迹,243,278,N,N,Y
128_1.png,128_2.png,没有墨迹,上方有墨迹,551,317,N,N,N
128_2.png,128_1.png,上方有墨迹,没有墨迹,450,,N,N,N
138_1.png,138_2.png,没有墨迹,没有墨迹,788,,N,N,N
138_2.png,138_1.png,没有墨迹,没有墨迹,83,727,N,Y,Y
140_1.png,140_2.png,没有墨迹,没有墨迹,767,444,N,N,N
140_2.png,140_1.png,没有墨迹,没有墨迹,964,1147,N,N,N
145_1.png,145_2.png,下方有墨迹,"上方有墨迹,下方有墨迹",86,344,N,Y,Y
145_2.png,145_1.png,"上方有墨迹,下方有墨迹",下方有墨迹,743,467,N,N,N
146_1.png,146_2.png,下方有墨迹,上方有墨迹,1089,455,N,N,N
146_2.png,146_1.png,上方有墨迹,下方有墨迹,885,708,N,N,N
149_1.png,149_2.png,下方有墨迹,上方有墨迹,613,1098,N,N,N
149_2.png,149_1.png,上方有墨迹,下方有墨迹,971,180,N,N,Y
150_1.png,150_2.png,下方有墨迹,上方有墨迹,1007,7,Y,Y,Y
150_2.png,150_1.png,上方有墨迹,下方有墨迹,8,1096,Y,Y,Y
152_1.png,152_2.png,没有墨迹,没有墨迹,764,56,N,Y,Y
152_2.png,152_1.png,没有墨迹,没有墨迹,72,953,N,Y,Y
155_1.png,155_2.png,没有墨迹,没有墨迹,51,,N,Y,Y
155_2.png,155_1.png,没有墨迹,没有墨迹,197,83,N,Y,Y
159_1.png,159_2.png,没有墨迹,下方有墨迹,104,151,N,N,Y
